name,hnhs,Males,Females
Abuno,2,2,0
Bonbonon,0,,
Bunawan,0,,
Buru-un,0,,
Dalipuga,2,1,1
DigKilaan,0,,
Hinaplanon,108,46,51
Kabacsanan,0,,
Kiwalan,0,,
Mahayhay,0,,
Mainit,0,,
Mandulog,0,,
Maria Cristina,0,,
Palao,0,,
Poblacion,1,1,0
Puga-an,0,,
Rogongon,0,,
Santa Elena,0,,
Santa Filomena,0,,
Suarez,0,,
Tambacan,0,,
Saray-Tibanga,0,,
Tipanoy,0,,
Tominobo Proper,0,,
Tominobo Upper,0,,
Tubod,0,,
Bagong Silang,10,5,5
DelCarmen,6,4,2
Dulag,0,,
San Miguel,4,2,2
Santiago,0,,
Santo Rosario,4,1,3
Tibanga,0,,
Acmac,0,,
Ditucalan,0,,
Hindang,0,,
Kalilangan,0,,
Lanipao,0,,
Luinab,108,39,69
Panoroganan,0,,
San Roque,7,3,4
Ubaldo Laya,0,,
Upper Hinaplanon,90,37,63
Villa Verde,2,1,1
