name,St. Michael's,Medical,St. Mary's,St. Therese,horizon,ici,peter,paul,sti,Mindanao Mission Academy,Lala High school,MSU,La Salle,Initao,St. Laurence
Abuno,3,0,0,0,3,2,1,0,7,0,0,2,0,0,0
Bonbonon,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Bunawan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buru-un,6,2,1,1,0,6,5,0,7,0,0,3,4,0,0
Ditucalan,2,2,0,1,0,0,0,0,1,0,0,2,1,0,0
Dalipuga,7,3,0,0,0,7,1,0,12,0,0,4,3,1,0
Digkilaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinaplanon,16,6,1,0,0,8,0,0,17,1,0,6,5,1,1
Kabacsanan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Kiwalan,5,0,0,0,0,6,1,1,10,0,0,2,0,0,0
Mahayahay,9,6,1,2,2,10,3,0,11,0,0,4,2,0,0
Mainit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mandulog,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Maria Cristina,15,5,0,1,0,1,0,0,21,0,0,2,1,0,0
Pala-o,13,11,0,0,0,7,4,0,15,0,0,6,16,0,1
Poblacion,16,10,0,1,2,4,1,2,15,5,0,11,9,3,0
Puga-An,12,3,0,0,0,10,1,0,18,0,0,4,3,1,0
Santa Elena,3,4,0,1,0,1,0,0,2,0,0,5,4,0,0
Suarez,17,3,0,0,0,14,2,0,25,0,0,5,8,0,0
Tambacan,13,9,0,3,0,27,3,1,43,0,0,2,2,0,0
Saray,3,2,0,0,0,4,2,0,4,0,0,1,1,0,0
Tipanoy,9,8,0,0,1,9,0,0,23,0,1,2,4,0,0
Tominobo Proper,3,1,0,0,0,1,0,0,5,0,1,1,1,0,0
Tominobo Upper,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Tubod,25,16,0,4,1,13,5,1,43,1,0,14,9,0,0
Bagong Silang,12,3,0,0,0,6,0,0,8,0,0,2,1,0,0
Del Carmen,7,13,0,0,1,3,0,0,6,0,1,5,6,0,0
Dulag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rogongon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Miguel,4,1,0,1,0,0,0,2,7,1,0,3,4,0,0
Santiago,12,2,0,0,0,5,1,0,8,0,0,5,1,0,0
Santo Rosario,3,4,0,2,0,2,0,0,6,0,0,3,4,0,0
Tibanga,5,3,0,0,0,11,2,0,14,0,2,2,3,0,0
Acmac,3,1,0,0,0,3,0,0,5,0,0,0,0,1,0
Santa Filomena,7,2,0,0,0,4,0,0,6,0,0,0,0,0,1
Hindang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalilangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luinab,5,5,0,0,0,6,1,2,10,0,0,5,1,0,0
San Roque,8,1,0,0,0,0,1,0,2,0,0,0,1,1,0
Ubaldo Laya,6,6,0,1,3,3,0,1,8,0,0,3,2,0,0
Upper Hinaplanon,2,1,0,0,0,1,0,0,1,0,0,2,1,0,0
Villa Verde,9,3,1,0,0,3,2,1,6,0,0,2,7,0,0
Lanipao,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
